year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,48228.20428491477,35600.68929040355,51,40,3912385570.261924,282445826.1698102,26281212.659191158,2102497012.7352927,4827580152.699415,6930077165.434708,10842462735.696632
2030,48228.20428491477,32633.86110185102,51,34,3493237489.1748285,301415944.7076943,21344005.204867378,1707520416.3893902,4054076631.669141,5761597048.058531,9254834537.23336
2040,48228.20428491477,22465.318543329522,51,24,2029268174.6323776,359752974.1486372,26254592.306326307,2100367384.5061042,4931162584.103812,7031529968.609917,9060798143.242294
2050,48228.20428491477,8270.018234423762,51,12,410099432.7080743,383664236.68802804,28321989.54332984,2265759163.466387,5260180819.902202,7525939983.368588,7936039416.076663
