run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
Leakage,11292414680.631205,132186904.51571402,758085245.674241,12182686830.821156,7076185774.199669,3079144485.0820856,0.0,0.0,10155330259.281754,22338017090.102917
No Leakage,11290328077.560616,132360114.24501304,759486327.2823142,12182174519.087944,7076352656.268753,3079335640.553808,0.0,0.0,10155688296.82256,22337862815.910507
