run,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Energy Capacity [MWh],Total Production [MWh],Total CO₂ Emissions [tonnes],Load Shedding [MWh],Curtailment [MWh]
Leakage,127913.02402348489,7879.690704748274,43306.30093911818,1298163409.9197893,38489306.06352607,0.0,0.0
No Leakage,127905.73256478767,7887.187999896306,43377.456637367075,1298152680.7284775,38491695.50692259,0.0,0.0
