,Leakage,No Leakage,difference,difference %
Generator Investment [EUR],11292414680.631205,11290328077.560616,-2086603.0705890656,-0.0
Transmission Investment [EUR],132186904.51571402,132360114.24501304,173209.72929902375,0.1
Battery Investment [EUR],758085245.674241,759486327.2823142,1401081.6080732346,0.2
CapEx [EUR],12182686830.821156,12182174519.087944,-512311.73321151733,-0.0
Production Cost [EUR],7076185774.199669,7076352656.268753,166882.06908416748,0.0
CO2 Cost [EUR],3079144485.0820856,3079335640.553808,191155.47172260284,0.0
Load Shedding Cost [EUR],0.0,0.0,0.0,
Curtailment Cost [EUR],0.0,0.0,0.0,
Total OpEx [EUR],10155330259.281754,10155688296.82256,358037.54080581665,0.0
Total System Cost [EUR],22338017090.102917,22337862815.910507,-154274.19240951538,-0.0
