scenario,year,dual_value
NT,2025,-31727.300250536853
NT,2030,-31488.563450270485
NT,2040,-10334.462750719513
GA,2040,-10387.255059889938
DE,2040,-10304.788491045538
GA,2050,-15223.949323708493
DE,2050,-46.52681566414526
