year,hour,35,35 new
2025,0,-6846.429396156785,0.0
2025,1,-6718.013838373951,0.0
2025,2,-5902.942192115776,0.0
2025,3,-5796.611174577487,0.0
2025,4,-5538.021506966497,0.0
2025,5,-6307.112694765776,0.0
2025,6,-6605.909201960971,0.0
2025,7,-6680.67620002618,0.0
2025,8,-5183.342885499287,0.0
2025,9,-1237.1568887848362,0.0
2025,10,-920.4642952748391,0.0
2025,11,1894.7228499516705,0.0
2025,12,1811.2801797603634,0.0
2025,13,1175.8976944684562,0.0
2025,14,747.0009623050282,0.0
2025,15,554.4959047863176,0.0
2025,16,-6984.413440362758,0.0
2025,17,-5757.94060120677,0.0
2025,18,-5286.342785687723,0.0
2025,19,-4938.77552937407,0.0
2025,20,-4696.547384604443,0.0
2025,21,-4638.659572995699,0.0
2025,22,-4728.107002701208,0.0
2025,23,-5476.505545465841,0.0
2025,24,-6104.638147548583,0.0
2025,25,-5706.371483944685,0.0
2025,26,-3926.9134899786914,0.0
2025,27,-3886.8334008837883,0.0
2025,28,-3877.1931214270953,0.0
2025,29,-6163.924042731708,0.0
2025,30,-6099.608753264294,0.0
2025,31,-5286.3573935973445,0.0
2025,32,-4182.197578744466,0.0
2025,33,-3819.8524019487977,0.0
2025,34,-1226.9905964501804,0.0
2025,35,4174.461976114953,0.0
2025,36,3877.989382516437,0.0
2025,37,3972.4386109397365,0.0
2025,38,4288.286088398413,0.0
2025,39,1894.2377280913988,0.0
2025,40,-3228.1947706316337,0.0
2025,41,-2310.451813018967,0.0
2025,42,-2523.6441335459,0.0
2025,43,-2921.317981209273,0.0
2025,44,-3436.1694668123378,0.0
2025,45,-3986.985108786372,0.0
2025,46,-4963.710717317388,0.0
2025,47,-6050.9758464541865,0.0
2025,48,-5213.120458934181,0.0
2025,49,-4714.563602566204,0.0
2025,50,-4129.163872437959,0.0
2025,51,-4259.389533107025,0.0
2025,52,-4537.383397462212,0.0
2025,53,-6748.5238127270295,0.0
2025,54,-8034.0629889589245,0.0
2025,55,-7958.616438702748,0.0
2025,56,-7491.06577217094,0.0
2025,57,-6148.859315655081,0.0
2025,58,-3385.5671965477964,0.0
2025,59,-1628.500063154348,0.0
2025,60,-1793.17021018392,0.0
2025,61,-2650.0141640334696,0.0
2025,62,-5923.236325803223,0.0
2025,63,-7578.066916397421,0.0
2025,64,-6534.452189186386,0.0
2025,65,-5276.182680637677,0.0
2025,66,-5427.063506071243,0.0
2025,67,-5677.535261324694,0.0
2025,68,-6077.5553303200495,0.0
2025,69,-6511.089199039213,0.0
2025,70,-7323.442356723357,0.0
2025,71,-8125.680702913084,0.0
2025,72,-8764.812530019692,0.0
2025,73,-9207.479740116967,0.0
2025,74,-9383.237419405823,0.0
2025,75,-9625.359047185082,0.0
2025,76,-9709.426810191557,0.0
2025,77,-9667.456048576461,0.0
2025,78,-9330.212349534107,0.0
2025,79,-8787.576302212692,0.0
2025,80,-7974.4039357740285,0.0
2025,81,-8278.24860761552,0.0
2025,82,-6202.517025685953,0.0
2025,83,-3919.798130612141,0.0
2025,84,-3175.9285001656963,0.0
2025,85,-3700.019477601455,0.0
2025,86,-6738.8953101263405,0.0
2025,87,-6441.290604737377,0.0
2025,88,-5500.527468405014,0.0
2025,89,-4277.479523422603,0.0
2025,90,-4666.982350366466,0.0
2025,91,-5293.332094700046,0.0
2025,92,-5778.520655810844,0.0
2025,93,-6152.904031489481,0.0
2025,94,-6336.317122199892,0.0
2025,95,-6407.336806181496,0.0
2025,96,-6412.970019695146,0.0
2025,97,-6474.020709259569,0.0
2025,98,-6514.016138870131,0.0
2025,99,-6406.609074871117,0.0
2025,100,-6350.089856419526,0.0
2025,101,-6135.128080992217,0.0
2025,102,-6036.274345606841,0.0
2025,103,-6033.202880435671,0.0
2025,104,-5500.0837512196185,0.0
2025,105,-5917.421619162113,0.0
2025,106,-4428.287000983911,0.0
2025,107,-2840.191243583111,0.0
2025,108,-2001.5444286343645,0.0
2025,109,-2492.2852238052387,0.0
2025,110,-4783.207778946388,0.0
2025,111,-4634.403925485265,0.0
2025,112,-3871.979473223313,0.0
