carrier,Installed Capacity [MW],Number of Generators
CCGT,184314.161,32
OCGT,13736.634932146842,20
biomass,21288.691976,15
coal,63868.16536116995,21
lignite,45428.642752682186,13
nuclear,110054.09999999999,15
offwind-ac,363137.7025270219,28
offwind-dc,15421.868429129241,23
oil,5596.560389869087,14
onwind,184646.174706433,37
ror,49417.59091661393,29
solar,152969.7430870819,37
