year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,33461.73034453494,33461.73034453494,734783625.0048989,86.52980814433947
2030,0,0.0,33461.73034453494,0.0,104.65094666509849
2040,0,0.0,33461.73034453494,0.0,146.63782296332013
2050,0,0.0,33461.73034453494,0.0,180.62430646222933
