scenario,year,week,hour,branch,dual_value
mean,2025,5,0,88,0.0
mean,2025,5,1,88,0.0
mean,2025,5,2,88,0.0
mean,2025,5,3,88,0.0
mean,2025,5,4,88,0.0
mean,2025,5,5,88,0.0
mean,2025,5,6,88,0.0
mean,2025,5,7,88,0.0
mean,2025,5,8,88,0.0
mean,2025,5,9,88,0.0
mean,2025,5,10,88,0.0
mean,2025,5,11,88,0.0
mean,2025,5,12,88,0.0
mean,2025,5,13,88,0.0
mean,2025,5,14,88,0.0
mean,2025,5,15,88,0.0
mean,2025,5,16,88,0.0
mean,2025,5,17,88,0.0
mean,2025,5,18,88,0.0
mean,2025,5,19,88,0.0
mean,2025,5,20,88,0.0
mean,2025,5,21,88,0.0
mean,2025,5,22,88,0.0
mean,2025,5,23,88,0.0
mean,2025,5,24,88,0.0
mean,2025,5,25,88,0.0
mean,2025,5,26,88,0.0
mean,2025,5,27,88,0.0
mean,2025,5,28,88,0.0
mean,2025,5,29,88,0.0
mean,2025,5,30,88,0.0
mean,2025,5,31,88,0.0
mean,2025,5,32,88,0.0
mean,2025,5,33,88,0.0
mean,2025,5,34,88,0.0
mean,2025,5,35,88,0.0
mean,2025,5,36,88,0.0
mean,2025,5,37,88,0.0
mean,2025,5,38,88,0.0
mean,2025,5,39,88,0.0
mean,2025,5,40,88,0.0
mean,2025,5,41,88,0.0
mean,2025,5,42,88,0.0
mean,2025,5,43,88,0.0
mean,2025,5,44,88,0.0
mean,2025,5,45,88,0.0
mean,2025,5,46,88,0.0
mean,2025,5,47,88,0.0
mean,2025,5,48,88,0.0
mean,2025,5,49,88,0.0
mean,2025,5,50,88,0.0
mean,2025,5,51,88,0.0
mean,2025,5,52,88,0.0
mean,2025,5,53,88,0.0
mean,2025,5,54,88,0.0
mean,2025,5,55,88,0.0
mean,2025,5,56,88,0.0
mean,2025,5,57,88,0.0
mean,2025,5,58,88,0.0
mean,2025,5,59,88,0.0
mean,2025,5,60,88,0.0
mean,2025,5,61,88,0.0
mean,2025,5,62,88,0.0
mean,2025,5,63,88,0.0
mean,2025,5,64,88,0.0
mean,2025,5,65,88,0.0
mean,2025,5,66,88,0.0
mean,2025,5,67,88,0.0
mean,2025,5,68,88,0.0
mean,2025,5,69,88,0.0
mean,2025,5,70,88,0.0
mean,2025,5,71,88,0.0
mean,2025,5,72,88,0.0
mean,2025,5,73,88,0.0
mean,2025,5,74,88,0.0
mean,2025,5,75,88,0.0
mean,2025,5,76,88,0.0
mean,2025,5,77,88,0.0
mean,2025,5,78,88,0.0
mean,2025,5,79,88,0.0
mean,2025,5,80,88,0.0
mean,2025,5,81,88,0.0
mean,2025,5,82,88,0.0
mean,2025,5,83,88,0.0
mean,2025,5,84,88,0.0
mean,2025,5,85,88,0.0
mean,2025,5,86,88,0.0
mean,2025,5,87,88,0.0
mean,2025,5,88,88,0.0
mean,2025,5,89,88,0.0
mean,2025,5,90,88,0.0
mean,2025,5,91,88,0.0
mean,2025,5,92,88,0.0
mean,2025,5,93,88,0.0
mean,2025,5,94,88,0.0
mean,2025,5,95,88,0.0
mean,2025,5,96,88,0.0
mean,2025,5,97,88,0.0
mean,2025,5,98,88,0.0
mean,2025,5,99,88,0.0
mean,2025,5,100,88,0.0
mean,2025,5,101,88,0.0
mean,2025,5,102,88,0.0
mean,2025,5,103,88,0.0
mean,2025,5,104,88,0.0
mean,2025,5,105,88,0.0
mean,2025,5,106,88,0.0
mean,2025,5,107,88,0.0
mean,2025,5,108,88,0.0
mean,2025,5,109,88,0.0
mean,2025,5,110,88,0.0
mean,2025,5,111,88,0.0
mean,2025,5,112,88,0.0
mean,2025,5,113,88,0.0
mean,2025,5,114,88,0.0
mean,2025,5,115,88,0.0
mean,2025,5,116,88,0.0
mean,2025,5,117,88,0.0
mean,2025,5,118,88,0.0
mean,2025,5,119,88,0.0
mean,2025,5,120,88,0.0
mean,2025,5,121,88,0.0
mean,2025,5,122,88,0.0
mean,2025,5,123,88,0.0
mean,2025,5,124,88,0.0
mean,2025,5,125,88,0.0
mean,2025,5,126,88,0.0
mean,2025,5,127,88,0.0
mean,2025,5,128,88,0.0
mean,2025,5,129,88,0.0
mean,2025,5,130,88,0.0
mean,2025,5,131,88,0.0
mean,2025,5,132,88,0.0
mean,2025,5,133,88,0.0
mean,2025,5,134,88,0.0
mean,2025,5,135,88,0.0
mean,2025,5,136,88,0.0
mean,2025,5,137,88,0.0
mean,2025,5,138,88,0.0
mean,2025,5,139,88,0.0
mean,2025,5,140,88,0.0
mean,2025,5,141,88,0.0
mean,2025,5,142,88,0.0
mean,2025,5,143,88,0.0
mean,2025,5,144,88,0.0
mean,2025,5,145,88,0.0
mean,2025,5,146,88,0.0
mean,2025,5,147,88,0.0
mean,2025,5,148,88,0.0
mean,2025,5,149,88,0.0
mean,2025,5,150,88,0.0
mean,2025,5,151,88,0.0
mean,2025,5,152,88,0.0
mean,2025,5,153,88,0.0
mean,2025,5,154,88,0.0
mean,2025,5,155,88,0.0
mean,2025,5,156,88,0.0
mean,2025,5,157,88,0.0
mean,2025,5,158,88,0.0
mean,2025,5,159,88,0.0
mean,2025,5,160,88,0.0
mean,2025,5,161,88,0.0
mean,2025,5,162,88,0.0
mean,2025,5,163,88,0.0
mean,2025,5,164,88,0.0
mean,2025,5,165,88,0.0
mean,2025,5,166,88,0.0
mean,2025,5,167,88,0.0
mean,2025,11,0,88,0.0
mean,2025,11,1,88,0.0
mean,2025,11,2,88,0.0
mean,2025,11,3,88,0.0
mean,2025,11,4,88,0.0
mean,2025,11,5,88,0.0
mean,2025,11,6,88,0.0
mean,2025,11,7,88,0.0
mean,2025,11,8,88,0.0
mean,2025,11,9,88,0.0
mean,2025,11,10,88,0.0
mean,2025,11,11,88,0.0
mean,2025,11,12,88,0.0
mean,2025,11,13,88,0.0
mean,2025,11,14,88,0.0
mean,2025,11,15,88,0.0
mean,2025,11,16,88,0.0
mean,2025,11,17,88,0.0
mean,2025,11,18,88,0.0
mean,2025,11,19,88,0.0
mean,2025,11,20,88,0.0
mean,2025,11,21,88,0.0
mean,2025,11,22,88,0.0
mean,2025,11,23,88,0.0
mean,2025,11,24,88,0.0
mean,2025,11,25,88,0.0
mean,2025,11,26,88,0.0
mean,2025,11,27,88,0.0
mean,2025,11,28,88,0.0
mean,2025,11,29,88,0.0
mean,2025,11,30,88,0.0
mean,2025,11,31,88,0.0
mean,2025,11,32,88,0.0
mean,2025,11,33,88,0.0
mean,2025,11,34,88,0.0
mean,2025,11,35,88,0.0
mean,2025,11,36,88,0.0
mean,2025,11,37,88,0.0
mean,2025,11,38,88,0.0
mean,2025,11,39,88,0.0
mean,2025,11,40,88,0.0
mean,2025,11,41,88,0.0
mean,2025,11,42,88,0.0
mean,2025,11,43,88,0.0
mean,2025,11,44,88,0.0
mean,2025,11,45,88,0.0
mean,2025,11,46,88,0.0
mean,2025,11,47,88,0.0
mean,2025,11,48,88,0.0
mean,2025,11,49,88,0.0
mean,2025,11,50,88,0.0
mean,2025,11,51,88,0.0
mean,2025,11,52,88,0.0
mean,2025,11,53,88,0.0
mean,2025,11,54,88,0.0
mean,2025,11,55,88,0.0
mean,2025,11,56,88,0.0
mean,2025,11,57,88,0.0
mean,2025,11,58,88,0.0
mean,2025,11,59,88,0.0
mean,2025,11,60,88,0.0
mean,2025,11,61,88,0.0
mean,2025,11,62,88,0.0
mean,2025,11,63,88,0.0
mean,2025,11,64,88,0.0
mean,2025,11,65,88,0.0
mean,2025,11,66,88,0.0
mean,2025,11,67,88,0.0
mean,2025,11,68,88,0.0
mean,2025,11,69,88,0.0
mean,2025,11,70,88,0.0
mean,2025,11,71,88,0.0
mean,2025,11,72,88,0.0
mean,2025,11,73,88,0.0
mean,2025,11,74,88,0.0
mean,2025,11,75,88,0.0
mean,2025,11,76,88,0.0
mean,2025,11,77,88,0.0
mean,2025,11,78,88,0.0
mean,2025,11,79,88,0.0
mean,2025,11,80,88,0.0
mean,2025,11,81,88,0.0
mean,2025,11,82,88,0.0
mean,2025,11,83,88,0.0
mean,2025,11,84,88,0.0
mean,2025,11,85,88,0.0
mean,2025,11,86,88,0.0
mean,2025,11,87,88,0.0
mean,2025,11,88,88,0.0
mean,2025,11,89,88,0.0
mean,2025,11,90,88,0.0
mean,2025,11,91,88,0.0
mean,2025,11,92,88,0.0
mean,2025,11,93,88,0.0
mean,2025,11,94,88,0.0
mean,2025,11,95,88,0.0
mean,2025,11,96,88,0.0
mean,2025,11,97,88,0.0
mean,2025,11,98,88,0.0
mean,2025,11,99,88,0.0
mean,2025,11,100,88,0.0
mean,2025,11,101,88,0.0
mean,2025,11,102,88,0.0
mean,2025,11,103,88,0.0
mean,2025,11,104,88,0.0
mean,2025,11,105,88,0.0
mean,2025,11,106,88,0.0
mean,2025,11,107,88,0.0
mean,2025,11,108,88,0.0
mean,2025,11,109,88,0.0
mean,2025,11,110,88,0.0
mean,2025,11,111,88,0.0
mean,2025,11,112,88,0.0
mean,2025,11,113,88,0.0
mean,2025,11,114,88,0.0
mean,2025,11,115,88,0.0
mean,2025,11,116,88,0.0
mean,2025,11,117,88,0.0
mean,2025,11,118,88,0.0
mean,2025,11,119,88,0.0
mean,2025,11,120,88,0.0
mean,2025,11,121,88,0.0
mean,2025,11,122,88,0.0
mean,2025,11,123,88,0.0
mean,2025,11,124,88,0.0
mean,2025,11,125,88,0.0
mean,2025,11,126,88,0.0
mean,2025,11,127,88,0.0
mean,2025,11,128,88,0.0
mean,2025,11,129,88,0.0
mean,2025,11,130,88,0.0
mean,2025,11,131,88,0.0
mean,2025,11,132,88,0.0
mean,2025,11,133,88,0.0
mean,2025,11,134,88,0.0
mean,2025,11,135,88,0.0
mean,2025,11,136,88,0.0
mean,2025,11,137,88,0.0
mean,2025,11,138,88,0.0
mean,2025,11,139,88,0.0
mean,2025,11,140,88,0.0
mean,2025,11,141,88,0.0
mean,2025,11,142,88,0.0
mean,2025,11,143,88,0.0
mean,2025,11,144,88,0.0
mean,2025,11,145,88,0.0
mean,2025,11,146,88,0.0
mean,2025,11,147,88,0.0
mean,2025,11,148,88,0.0
mean,2025,11,149,88,0.0
mean,2025,11,150,88,0.0
mean,2025,11,151,88,0.0
mean,2025,11,152,88,0.0
mean,2025,11,153,88,0.0
mean,2025,11,154,88,0.0
mean,2025,11,155,88,0.0
mean,2025,11,156,88,0.0
mean,2025,11,157,88,0.0
mean,2025,11,158,88,0.0
mean,2025,11,159,88,0.0
mean,2025,11,160,88,0.0
mean,2025,11,161,88,0.0
mean,2025,11,162,88,0.0
mean,2025,11,163,88,0.0
mean,2025,11,164,88,0.0
mean,2025,11,165,88,0.0
mean,2025,11,166,88,0.0
mean,2025,11,167,88,0.0
mean,2025,16,0,88,0.0
mean,2025,16,1,88,0.0
mean,2025,16,2,88,0.0
mean,2025,16,3,88,0.0
mean,2025,16,4,88,0.0
mean,2025,16,5,88,0.0
mean,2025,16,6,88,0.0
mean,2025,16,7,88,0.0
mean,2025,16,8,88,0.0
mean,2025,16,9,88,0.0
mean,2025,16,10,88,0.0
mean,2025,16,11,88,0.0
mean,2025,16,12,88,0.0
mean,2025,16,13,88,0.0
mean,2025,16,14,88,0.0
mean,2025,16,15,88,0.0
mean,2025,16,16,88,0.0
mean,2025,16,17,88,0.0
mean,2025,16,18,88,0.0
mean,2025,16,19,88,0.0
mean,2025,16,20,88,0.0
mean,2025,16,21,88,0.0
mean,2025,16,22,88,0.0
mean,2025,16,23,88,0.0
mean,2025,16,24,88,0.0
mean,2025,16,25,88,0.0
mean,2025,16,26,88,0.0
mean,2025,16,27,88,0.0
mean,2025,16,28,88,0.0
mean,2025,16,29,88,0.0
mean,2025,16,30,88,0.0
mean,2025,16,31,88,0.0
mean,2025,16,32,88,0.0
mean,2025,16,33,88,0.0
mean,2025,16,34,88,0.0
mean,2025,16,35,88,0.0
mean,2025,16,36,88,0.0
mean,2025,16,37,88,0.0
mean,2025,16,38,88,0.0
mean,2025,16,39,88,0.0
mean,2025,16,40,88,0.0
mean,2025,16,41,88,0.0
mean,2025,16,42,88,0.0
mean,2025,16,43,88,0.0
mean,2025,16,44,88,0.0
mean,2025,16,45,88,0.0
mean,2025,16,46,88,0.0
mean,2025,16,47,88,0.0
mean,2025,16,48,88,0.0
mean,2025,16,49,88,0.0
mean,2025,16,50,88,0.0
mean,2025,16,51,88,0.0
mean,2025,16,52,88,0.0
mean,2025,16,53,88,0.0
mean,2025,16,54,88,0.0
