year,DE,GA,NT,Average
2025,,,27.762874899625103,27.762874899625103
2030,,,20.113945874923985,20.113945874923985
2040,26.36469381464591,20.880321742038852,24.83943136381504,24.028148973499935
2050,50.80692685923725,24.17485998641642,,37.49089342282684
