generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
ES1 0 CCGT,ES1 0,CCGT,26305.331999999995,40.772380421530684,99027.72929315243,0.2,#b20101,Combined-Cycle Gas
ES1 0 coal,ES1 0,coal,4739.393482733913,28.196969696969695,349976.5536298572,0.34,#707070,Coal
ES1 0 offwind-ac,ES1 0,offwind-ac,9274.463485690856,0.014999999999999994,184160.11945604006,0.0,#6895dd,Offshore Wind (AC)
ES1 0 onwind,ES1 0,onwind,26825.862669404865,0.015000000000000005,96085.88801996631,0.0,#235ebc,Onshore Wind
ES1 0 ror,ES1 0,ror,147.00824749999998,0.0,299140.22492922965,0.0,#4adbc8,Run of River
ES1 0 solar,ES1 0,solar,11681.579273038667,0.009999999999999997,35602.07124380445,0.0,#f9d002,Solar
PT1 0 CCGT,PT1 0,CCGT,4145.0,38.87669736560293,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
PT1 0 offwind-ac,PT1 0,offwind-ac,4460.18873614281,0.015,185034.00994052453,0.0,#6895dd,Offshore Wind (AC)
PT1 0 onwind,PT1 0,onwind,5213.640675318431,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
PT1 0 ror,PT1 0,ror,2638.5,0.0,299140.22492922953,0.0,#4adbc8,Run of River
PT1 0 solar,PT1 0,solar,1025.44,0.010000000000000002,35602.07124380446,0.0,#f9d002,Solar
