year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,32130.458398431132,32130.458398431132,705550324.2654097,87.17520055501585
2030,0,0.0,32130.458398431132,0.0,105.49862313965458
2040,0,0.0,32130.458398431132,0.0,149.00150093771856
2050,0,0.0,32130.458398431132,0.0,181.02036330564144
