year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,59761.75643169539,19,13,1112420514.307307
2030,95000,38552.906664534865,19,9,724992130.7069439
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
