year,num_buildout,capacity,investment_cost,cycles_per_year
2025,2,90602.91639943278,1989542640.5784779,123.21052073725551
2030,0,90602.91639943278,0.0,166.5779447509314
2040,0,90602.91639943278,0.0,249.9714432890791
2050,0,90602.91639943278,0.0,246.80528631521548
