line,scenario,year,utilization_rate,congestion_rate
88,DE,2040,0.9962234758063183,0.9717261904761906
88,DE,2050,0.9948584667010232,0.9672619047619048
88,GA,2040,0.9988294417412654,0.9895833333333334
88,GA,2050,0.9965455649762597,0.9747023809523809
88,NT,2025,0.9988980621085576,0.9880952380952381
88,NT,2030,0.9987082270170881,0.9895833333333334
88,NT,2040,0.996386645253194,0.9747023809523809
89,DE,2040,0.6839155517387386,0.1830357142857143
89,DE,2050,0.6842064286438527,0.1949404761904762
89,GA,2040,0.6905041027878835,0.18898809523809526
89,GA,2050,0.6759839250998315,0.17261904761904764
89,NT,2025,0.6895848337558904,0.125
89,NT,2030,0.7086334459831898,0.20089285714285715
89,NT,2040,0.6847580136590281,0.1830357142857143
90,DE,2040,0.4730469051327218,0.06696428571428571
90,DE,2050,0.49760783845902407,0.08482142857142858
90,GA,2040,0.42821834344756327,0.04464285714285715
90,GA,2050,0.4502770635750261,0.055059523809523815
90,NT,2025,0.3160060567673125,0.020833333333333332
90,NT,2030,0.3934988506371915,0.046130952380952384
90,NT,2040,0.46342409555242137,0.06101190476190477
91,DE,2040,0.9810309923543137,0.8973214285714286
91,DE,2050,0.9874904821967417,0.9255952380952381
91,GA,2040,0.9813839609170624,0.8898809523809524
91,GA,2050,0.9858431424933554,0.9077380952380952
91,NT,2025,0.9897590199177221,0.9464285714285715
91,NT,2030,0.9777547389998441,0.8779761904761906
91,NT,2040,0.9815152169902681,0.898809523809524
92,DE,2040,0.8964764211808268,0.805059523809524
92,DE,2050,0.9120350540578933,0.836309523809524
92,GA,2040,0.9060405400933309,0.8125
92,GA,2050,0.8954097677299414,0.8080357142857144
92,NT,2025,0.8491520755323274,0.7098214285714286
92,NT,2030,0.8998072557707225,0.7991071428571429
92,NT,2040,0.899968124430655,0.8139880952380952
93,DE,2040,1.0,1.0
93,DE,2050,1.0,1.0
93,GA,2040,1.0,1.0
93,GA,2050,1.0,1.0
93,NT,2025,1.0,1.0
93,NT,2030,1.0,1.0
93,NT,2040,1.0,1.0
95,DE,2040,0.977366158171103,0.9538690476190476
95,DE,2050,0.9715204738603345,0.9434523809523809
95,GA,2040,0.986173701034379,0.9702380952380953
95,GA,2050,0.9817203744106434,0.9642857142857143
95,NT,2025,0.9981933894524084,0.9940476190476191
95,NT,2030,0.9860988095221008,0.9747023809523809
95,NT,2040,0.9791385153681365,0.9598214285714287
96,DE,2040,0.25574015398113975,0.0
96,DE,2050,0.2690150290219152,0.004464285714285715
96,GA,2040,0.23976342592591454,0.0
96,GA,2050,0.2521146808088552,0.0
96,NT,2025,0.28177183296497343,0.0
96,NT,2030,0.24237170429086202,0.0
96,NT,2040,0.25309084034075957,0.0
97,DE,2040,0.15052943172313535,0.0
97,DE,2050,0.1568787825101717,0.0
97,GA,2040,0.14960517905836523,0.0
97,GA,2050,0.1583851021136842,0.0
97,NT,2025,0.11407006024139149,0.0
97,NT,2030,0.13580039678721445,0.0
97,NT,2040,0.15031335488587508,0.0
99,DE,2040,0.9998243958671706,1.0
99,DE,2050,0.9994215360068384,0.9955357142857143
99,GA,2040,0.9997005428284923,0.9985119047619048
99,GA,2050,0.9998550174576614,0.9985119047619048
99,NT,2025,1.0000000000000002,1.0
99,NT,2030,0.9999603744559619,1.0
99,NT,2040,0.9996627197980495,0.9970238095238096
100,DE,2040,0.20522510022176316,0.0
100,DE,2050,0.21641361679094337,0.0
100,GA,2040,0.1960753841068161,0.0
100,GA,2050,0.20092219293294145,0.0
100,NT,2025,0.14027062339614743,0.0
100,NT,2030,0.1816266240817266,0.0
100,NT,2040,0.20341927443023458,0.0
101,DE,2040,0.8321881561481732,0.6592261904761906
101,DE,2050,0.8361105943758551,0.6547619047619048
101,GA,2040,0.8539762494727735,0.6919642857142857
101,GA,2050,0.8494677858813742,0.6875
101,NT,2025,0.8418901662089123,0.6592261904761906
101,NT,2030,0.8632088764699204,0.7172619047619048
101,NT,2040,0.8373829919665826,0.6726190476190477
102,DE,2040,0.48023419743984835,0.12351190476190477
102,DE,2050,0.47227237485549617,0.11011904761904763
102,GA,2040,0.48759261129418113,0.12351190476190477
102,GA,2050,0.47481467558892787,0.09821428571428571
102,NT,2025,0.390641056418909,0.013392857142857144
102,NT,2030,0.47208943763542127,0.10119047619047619
102,NT,2040,0.4818774163041884,0.12648809523809526
103,DE,2040,0.7793161423916308,0.6011904761904762
103,DE,2050,0.7612089504507309,0.5639880952380952
103,GA,2040,0.7761998170474886,0.5907738095238095
103,GA,2050,0.7680026476288988,0.5639880952380952
103,NT,2025,0.7826103650846998,0.5818452380952381
103,NT,2030,0.7718721809833151,0.5550595238095238
103,NT,2040,0.7805245463349993,0.6116071428571429
104,DE,2040,0.7473667784410363,0.4642857142857143
104,DE,2050,0.7380406417825465,0.4791666666666667
104,GA,2040,0.7676754238395623,0.4702380952380953
104,GA,2050,0.7528250118561095,0.48214285714285715
104,NT,2025,0.8498819245977179,0.5416666666666666
104,NT,2030,0.7939118360601105,0.4642857142857143
104,NT,2040,0.7526585231883752,0.4598214285714286
105,DE,2040,0.5937315896684433,0.06845238095238096
105,DE,2050,0.6108245937527642,0.08333333333333333
105,GA,2040,0.5730860386739851,0.041666666666666664
105,GA,2050,0.5875851836654232,0.052083333333333336
105,NT,2025,0.5375132270246535,0.0
105,NT,2030,0.5463938300774914,0.010416666666666666
105,NT,2040,0.5894677315876296,0.053571428571428575
106,DE,2040,0.9953510491589054,0.9776785714285715
106,DE,2050,0.9983513319022922,0.9895833333333334
106,GA,2040,0.9968922657338953,0.9836309523809524
106,GA,2050,0.998195702635417,0.9836309523809524
106,NT,2025,1.0,1.0
106,NT,2030,0.9997827276158754,0.9970238095238096
106,NT,2040,0.9957598732182323,0.9806547619047621
107,DE,2040,0.9413493546783273,0.8958333333333335
107,DE,2050,0.945265084633587,0.898809523809524
107,GA,2040,0.9434013317211597,0.8883928571428572
107,GA,2050,0.9467797216970971,0.8928571428571429
107,NT,2025,0.9852327200114892,0.9627976190476191
107,NT,2030,0.9452267447259292,0.8839285714285715
107,NT,2040,0.9358909576519167,0.8898809523809524
219,DE,2040,0.6345763354042888,0.09523809523809525
219,DE,2050,0.6565070843757758,0.09077380952380952
219,GA,2040,0.6088138124235697,0.0818452380952381
219,GA,2050,0.6184059301449338,0.08035714285714286
219,NT,2025,0.6619403429582487,0.07886904761904763
219,NT,2030,0.6060821597425305,0.049107142857142856
219,NT,2040,0.6287345218887396,0.09226190476190477
