year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,268633322.32973903,3921066.1142389923,313685289.1391194,819557020.1545541,1133242309.2936735
2030,NT,289194281.70316225,2788741.199943791,223099295.99550328,548268704.9715652,771368000.9670686
2040,DE,362305030.2789213,4618702.517991485,369496201.4393188,822735151.9642955,1192231353.4036143
2040,GA,321710905.3001017,3227370.11465815,258189609.17265198,649730980.5131946,907920589.6858464
2040,NT,353611565.30956525,4303070.770436416,344245661.6349133,771014748.1521945,1115260409.7871077
2050,DE,391561802.83486533,5521191.44666194,441695315.7329551,1015864873.6232804,1457560189.3562355
2050,GA,346765281.8956185,3742745.1493515493,299419611.94812393,740861282.6363785,1040280894.5845025
