year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,8140.83429732783,19,2,138220095.16457793
2030,95000,0.0,19,0,0.0
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
