year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,41762361.85199588,3458703.080506813,47901146.01710804,104276613.54819863,37976707.07523018,39200200.26390292
2030,49982093.31602034,4789417.539586943,52088003.55418275,109989344.17211631,37976707.07523018,39200200.26390292
2040,80144721.3986089,10192704.95611653,56858491.7123553,126408390.04939558,37976707.075230174,39200200.26390291
2050,93639336.32294466,12892994.39342264,57963030.63818399,132272291.33912838,37976707.07523018,39200200.26390292
