year,num_buildout,capacity,investment_cost,cycles_per_year
2025,0,0.0,0.0,
2030,0,0.0,0.0,
2040,2,8880.266305193854,195001101.2447506,295.3790233419907
2050,4,34100.17858270428,553802160.7003127,197.39587844056504
