year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,8738.742531652219,19,3,151269848.75742984
2030,95000,0.0,19,0,0.0
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
