year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,80176.0548996596,51,23,8538058155.67757,277274565.95313025,11091435.785463534,942772041.7644005,2118948546.801796,3061720588.5661964,11599778744.243767
2030,192912.81713965908,45074.22149855568,51,14,3113842750.223606,297588734.21996206,7913961.50082095,672686727.5697807,1503634675.6427612,2176321403.212542,5290164153.436148
2040,192912.81713965908,11457.709570360636,51,2,871589211.9571608,354949310.5461753,11428654.6270672,971435643.3007119,2131072263.0647442,3102507906.365456,3974097118.322617
2050,192912.81713965908,0.0,51,0,0.0,378017655.2251788,13146314.979691733,1117436773.2737973,2437959310.273703,3555396083.5475006,3555396083.5475006
