year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,45250266.52971204,49998.17508728133,40221384.67441611,100625606.06846088,37397835.33564296,51520209.50654163,275065300.2898609
2030,30697527.52223032,117700.54931763525,39887253.43758049,104313704.64986038,41739083.1445817,78389730.19998871,295144999.50355923
2040,42220992.10546472,766345.0913177643,44390260.4501489,130603844.58404072,41739083.1445817,92284406.16809106,352004931.5436449
2050,48577035.92047563,938483.764288947,47365598.43297773,141611246.98284796,41739083.1445817,94628091.2383726,374859539.4835446
