carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,31737677.20066045,0.0,31737677.20066045,1255508313.85455,0.0,39.82453889356681,0.2,1263938360.0691707,6347535.44013209,539540512.4112276,1795048826.2657776,1795048826.2657776
coal,13787508.844128143,0.0,13787508.844128143,388765969.074583,0.0,28.196969696969692,0.34,388765969.0745829,4687753.007003569,398459005.59530336,787224974.6698864,787224974.6698864
offwind-ac,87005160.36859378,71491041.35182875,15514119.016765032,1305077.4055289007,0.0,0.014999999999999951,0.0,1305077.4055289025,0.0,0.0,1305077.4055289007,1305077.4055289007
onwind,20931036.153548677,0.0,20931036.153548677,313965.54230323015,0.0,0.015,0.0,313965.54230323015,0.0,0.0,313965.54230323015,313965.54230323015
ror,87313123.65574157,84231698.05365935,3081425.602082225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar,101817835.56693682,91776879.5997473,10040955.967189513,1018178.3556693587,0.0,0.00999999999999995,0.0,1018178.355669363,0.0,0.0,1018178.3556693587,1018178.3556693587
Total,342592341.78960943,247499619.0052354,95092722.78437403,1646911504.2326343,0.0,68.0615085905365,0.54,1655341550.447255,11035288.447135659,937999518.006531,2584911022.239166,2584911022.239166
