Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,30926372614.322533,,208.59567499160767,126.11795234680176,209.3082582950592,335.42621064186096,1629488,1181276,3144995,0,0,0,2
EV,30674230867.860317,,82.22727704048157,64.39693331718445,82.4937756061554,146.89070892333984,543536,675252,1736240,0,0,0,2
EEV,31147419133.46468,,4.678078889846802,126.15121483802795,5.407505512237549,131.5587203502655,1629488,1181276,3144995,0,0,0,2
EVPI,30758845788.54724,,86.74053911368053,79.85160624980927,87.22168930371602,167.0732955535253,1267504.0,675257.3333333334,1850928.0,0.0,0.0,0.0,2.0
EVPI std,1461598586.485463,,6.1542447891678345,6.45376435920588,6.168680138879789,10.942662855622181,280391.6007187091,2.065591117977289,44418.471400983624,0.0,0.0,0.0,0.0
