snapshot,88,89,90,91,92,93,95,96,97,99,100,101,102,103,104,105,106,107,219,100 new,101 new,102 new,103 new,104 new,105 new,106 new,107 new,219 new,88 new,89 new,90 new,91 new,92 new,93 new,95 new,96 new,97 new,99 new
2013-01-01 00:00:00,-2189.658630928575,5023.535797792044,-1770.9965508657378,-7775.522485338205,-1045.6811832915344,8267.078504526251,-5094.307835221583,4341.038837726293,-2273.283757121433,-12646.3957663834,2313.3169133085867,5494.976289139867,-2719.273297890595,-3396.205223481055,-8758.6345237143,-11949.274677595628,-3172.7706693046694,-1698.1026117405274,-7174.924535177631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,-2189.658630928575,5103.931656395508,-2297.2576011548454,-7775.522485338205,-434.12595434197874,8267.078504526251,-5094.307835221583,4085.730129248779,-2434.163218327438,-12646.3957663834,1277.4457115725018,6758.812177406474,-2444.2632614812665,-3396.205223481055,-8758.6345237143,-11106.917755056114,-3172.7706693046694,-1698.1026117405274,-7809.541747490481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,-2189.658630928575,5182.046330208775,-2774.388675002643,-7775.522485338205,239.88505200490272,8267.078504526251,-5094.307835221583,3869.035146451006,-2559.0920671510503,-12646.3957663834,1480.253556899992,6792.41044696211,-3495.2528494408143,-3396.205223481055,-8758.6345237143,-10228.552224381776,-3172.7706693046694,-1698.1026117405274,-7985.257085715377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,-2189.658630928575,5247.541701676303,-3097.87161518465,-7775.522485338205,646.8696246954066,8267.078504526251,-5094.307835221583,3703.5951563276794,-2623.20938340461,-12646.3957663834,1775.9512577831683,6750.352450354562,-4217.410670011094,-3396.205223481055,-8758.6345237143,-9724.130446704807,-3172.7706693046694,-1698.1026117405274,-8061.908820885692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,-2189.658630928575,5307.7335548043275,-3438.4459999624924,-7775.522485338205,1125.0172922694617,8267.078504526251,-5094.307835221583,3511.445062748824,-2658.644397796219,-12646.3957663834,1950.8349630280718,6792.41044696211,-4855.4546515381335,-3396.205223481055,-8758.6345237143,-9199.666226338879,-3172.7706693046694,-1698.1026117405274,-7986.4364930977645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,-2189.658630928575,5325.70079347117,-3458.1927844274587,-7775.522485338205,1088.2117471152267,8267.078504526251,-5094.307835221583,3524.456763713475,-2626.9994601557737,-12646.3957663834,2289.4335307275614,6616.30185230822,-5011.478415022365,-3396.205223481055,-8758.6345237143,-9254.034980186136,-3172.7706693046694,-1698.1026117405274,-7957.996456604069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,-2189.658630928575,5308.276932814496,-3515.2261433781014,-7775.522485338205,1050.9332746408797,8267.078504526251,-5094.307835221583,3565.4139977814702,-2574.652316662279,-12646.3957663834,2265.7445168915838,6792.41044696211,-4822.804748546064,-3396.205223481055,-8758.6345237143,-9349.524890265293,-3172.7706693046694,-1698.1026117405274,-7976.5878770087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,-2189.658630928575,5316.394756671986,-3704.1543702724293,-7775.522485338205,1222.7652038715612,8267.078504526251,-5094.307835221583,3573.691664758655,-2592.0524754725193,-12646.3957663834,2437.3139043366937,6792.41044696211,-5097.4835906989565,-3396.205223481055,-8758.6345237143,-9220.809183238565,-3172.7706693046694,-1698.1026117405274,-7907.225412264235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,-2189.658630928575,5439.699862126047,-4134.84475193997,-7775.522485338205,1652.7851202462869,8267.078504526251,-5094.307835221583,3417.75135391195,-2614.8918685883764,-12646.3957663834,2502.7399642672754,6792.41044696211,-5472.1905173608875,-3396.205223481055,-8758.6345237143,-8918.418383206565,-3172.7706693046694,-1698.1026117405274,-7990.172728912139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 09:00:00,-2189.658630928575,5257.938125961683,-4173.399872674756,-7775.522485338205,1698.1026117405274,8267.078504526251,-5094.307835221583,3618.6964664110455,-2470.9557991048096,-12646.3957663834,2345.1607219382713,6792.41044696211,-5598.2350879549585,-3396.205223481055,-8758.6345237143,-8979.581451725044,-3172.7706693046694,-1698.1026117405274,-7976.1729672402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
