carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,181517420.1553061,0.0,181517420.1553061,7126502385.53447,0.0,40.52039741089527,0.2,7355158001.693455,36303484.031061225,3085796142.640204,10212298528.174673,10212298528.174673
coal,36160345.60427079,0.0,36160345.60427079,1019612169.2355752,0.0,28.196969696969695,0.34,1019612169.2355748,12294517.50545207,1045033987.963426,2064646157.1990013,2064646157.1990013
offwind-ac,23655760.099578135,0.0,23655760.099578135,354836.40149367205,0.0,0.015000000000000001,0.0,354836.40149367205,0.0,0.0,354836.40149367205,354836.40149367205
onwind,33942261.61966502,0.0,33942261.61966502,509133.92429497454,0.0,0.01499999999999999,0.0,509133.92429497495,0.0,0.0,509133.92429497454,509133.92429497454
solar,23076540.32248684,3857580.7003238527,19218959.622162987,230765.4032248684,90479241.09102376,0.01,0.0,230765.4032248684,0.0,0.0,230765.4032248684,90710006.49424863
ror,6947744.536813867,0.0,6947744.536813867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,305300072.3381207,3857580.7003238527,301442491.6377969,8147209290.499059,90479241.09102376,68.75736710786497,0.54,8375864906.658044,48598001.5365133,4130830130.60363,12278039421.102688,12368518662.193712
