year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,125550854.63412033,151357.02092181,39880288.10128402,72463621.27528882,15130152.62365348,29131692.362209402
2030,104008247.41201457,13435.745462322537,48192211.6340002,89622793.74645756,20173536.831537973,38842256.48294587
2040,122476077.65697938,290561.5638838234,53901660.696233585,108917470.5575883,25011298.952949245,48552820.60368233
2050,130061593.69203565,1429539.9256023099,54233084.66400481,114072173.85556388,25011298.952949245,58257529.2832998
