scenario,year,dual_value
NT,2025,-948.2045877387238
NT,2030,-601.6894256709553
NT,2040,-3.9101908561393075
GA,2040,-1.5297884270160793
DE,2040,-5.0761127654307785
GA,2050,-4.915037836692403
DE,2050,-440.9499639826324
