year,branch,dual_value
2025,88,-4788511.714610201
2030,88,-3398109.7706621895
2040,88,-2162226.3214549148
2050,88,-972168.0495043444
2025,89,0.0
2030,89,-9.997413130084169
2040,89,-19.996061672525684
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,-554765.4336178058
2030,91,-340447.6384763878
2040,91,-154363.60596603676
2050,91,-17814.020989096087
2025,92,-405.65185140911865
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,-1794575.0797056984
2030,93,-1278153.3806431757
2040,93,-819687.733944476
2050,93,-378386.67602002266
2025,95,-1894996.2042226673
2030,95,-1336639.6893045648
2040,95,-841448.0506331362
2050,95,-367712.25441198936
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,-1061422.9519936168
2030,99,-755282.8617278517
2040,99,-483649.24874183885
2050,99,-223095.88388183745
2025,100,0.0
2030,100,0.0
2040,100,-10.0
2050,100,0.0
2025,101,-1913693.5889124856
2030,101,-1402411.1118391315
2040,101,-940375.6009718811
2050,101,-461158.8163561783
2025,102,-150384.7300961738
2030,102,-150394.73009617385
2040,102,-146491.35093736925
2050,102,-101073.33735220118
2025,103,-3822.8626145573676
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,-482515.31954
2030,104,-345821.4005246927
2040,104,-226665.4570124573
2050,104,-115520.52553942641
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,-2011131.0262445942
2030,106,-1377993.5281691202
2040,106,-823517.3168412361
2050,106,-333706.184245067
2025,107,-1314612.3006629597
2030,107,-881324.0480175618
2040,107,-505231.60874136805
2050,107,-179812.7398080103
2025,219,-1160.9654621935042
2030,219,0.0
2040,219,0.0
2050,219,0.0
