year,AIC,expected_OC,total_cost
2025,8090512527.022971,2604129677.835365,10694642204.858335
2030,3099837957.0571976,1848089650.5368147,4947927607.594012
2040,736597722.1101904,2786040329.4105654,3522638051.520756
2050,0.0,3490197699.7786784,3490197699.7786784
