year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,17777.5337027049,19,4,300701603.2739757
2030,95000,12938.895711635523,19,3,215312694.82840115
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
