dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,4704,110,2.33843537414966
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,4704,64,1.3605442176870748
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,4,0,0.0
branch_flow_new_duals_max,2352,29,1.2329931972789114
branch_flow_new_duals_min,2352,221,9.39625850340136
branch_flow_old_duals_max,2352,0,0.0
branch_flow_old_duals_min,2352,62,2.6360544217687076
emissions_duals,7,0,0.0
gen_extension_duals,44,8,18.181818181818183
gen_output_new_duals,25872,18150,70.1530612244898
gen_output_old_duals,25872,18137,70.10281385281385
load_shedding_duals,4704,0,0.0
power_balance_duals,4704,4704,100.0
