year,DE,GA,NT,Average
2025,,,34.91632707238802,34.91632707238802
2030,,,30.596020459204208,30.596020459204208
2040,41.35805965320068,30.837861776661676,34.35230813970319,35.51607652318851
2050,51.22195037544587,33.35420890258366,,42.28807963901477
