year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,14784,190,1.2851731601731602
2030,NT,14784,244,1.6504329004329004
2040,DE,14784,260,1.7586580086580088
2040,GA,14784,213,1.4407467532467533
2040,NT,14784,128,0.8658008658008658
2050,DE,14784,229,1.5489718614718615
2050,GA,14784,263,1.7789502164502164
