,lower_bound,upper_bound,count,percent_of_interval
0,4.999,5.1,0,0.0
1,5.1,5.2,0,0.0
2,5.2,5.3,0,0.0
3,5.3,5.4,0,0.0
4,5.4,5.5,0,0.0
5,5.5,5.6,1,50.0
6,5.6,5.7,1,50.0
7,5.7,5.8,0,0.0
8,5.8,5.9,0,0.0
9,5.9,6.0,0,0.0
