year,scenario,utilization_rate,congestion_rate
2025,NT,0.30363616570847657,0.020833333333333332
2030,NT,0.28222045145895314,0.02380952380952381
2040,DE,0.3703496479355736,0.029761904761904764
2040,GA,0.3672304226132476,0.03571428571428572
2040,NT,0.3699327860246799,0.03571428571428572
2050,DE,0.39924279335693524,0.06547619047619048
2050,GA,0.40021867483041934,0.06547619047619048
