year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,39049826.64263378,13999688.465569837,58292303.50783995,95879879.31252557,4195183.521741388,61108559.401308954,272525440.8516195
2030,33915199.44223,10440322.84388586,51995197.40459177,89869779.98261267,4173692.1098350678,101847599.00218157,292241790.7853369
2040,48889492.17063785,14721464.154188477,48840435.76904331,91501146.68404123,4182050.657909482,139682647.78448448,347817237.22030485
2050,59838786.65958683,18216895.823414993,51239312.03820906,95798246.26837556,4194235.7287769956,140913629.7232272,370201106.2415906
