Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,26900683294.728325,,360.7673177719116,80.29105401039124,361.2545409202576,441.5455949306488,948168,720482,1936011,0,0,0,2
EV,26648560704.01728,,134.05838704109192,41.48884415626526,134.22471976280212,175.71356391906738,316488,411960,1076178,0,0,0,2
EEV,29128780954.929203,,7.543810844421387,77.57616543769836,7.906985521316528,85.48315095901489,948168,720482,1936011,0,0,0,2
EVPI,26708977595.808086,,132.88819567362467,49.10804311434428,133.1643648147583,182.27240792910257,737608.0,411965.3333333333,1133522.0,0.0,0.0,0.0,2.0
EVPI std,1066729718.5817333,,7.558878116713135,2.211532824453055,7.578989690140684,8.85658399388422,163099.07467548674,2.065591117977289,22209.235700491812,0.0,0.0,0.0,0.0
