node,MC,capital_cost,hour_capacity,cdrate,P_discharge_max,P_discharge_min,P_charge_max,P_charge_min,SOC_max,SOC_min,delta,eta_charge,eta_discharge,new_capacity,cum_new_capacity,total_capacity
ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 3,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 3,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 3,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 3,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 4,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 4,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,1049.4185792192093,1049.4185792192093,1049.4185792192093
ES1 4,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,4088.341446958621,5137.76002617783,5137.76002617783
ES1 4,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,4739.9190042523405,9877.67903043017,9877.67903043017
ES1 5,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 5,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 5,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 5,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 6,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
ES1 6,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
