year,hour,35,35 new
2025,0,-7892.489921964725,0.0
2025,1,-7924.733194632177,0.0
2025,2,-8182.375831195778,0.0
2025,3,-8430.15921648844,0.0
2025,4,-8611.59738665661,0.0
2025,5,-8720.995792441181,0.0
2025,6,-8753.999039227616,0.0
2025,7,-8920.316689904308,0.0
2025,8,-8756.344086054623,0.0
2025,9,-8410.319803399367,0.0
2025,10,-7841.320241921198,0.0
2025,11,-7519.678835492179,0.0
2025,12,-7482.825367165742,0.0
2025,13,-7924.2768612272275,0.0
2025,14,-8189.4994759550445,0.0
2025,15,-8302.747309462304,0.0
2025,16,-8135.387016974893,0.0
2025,17,-7202.371289258453,0.0
2025,18,-6796.590067734183,0.0
2025,19,-6695.221895229421,0.0
2025,20,-6620.063207344136,0.0
2025,21,-6706.137767741118,0.0
2025,22,-6905.389135942307,0.0
2025,23,-7489.723078897212,0.0
2025,24,-7917.8545226539,0.0
2025,25,-8268.444311839296,0.0
2025,26,-8474.976875096847,0.0
2025,27,-8430.87991725657,0.0
2025,28,-8447.380372496873,0.0
2025,29,-8414.058029737085,0.0
2025,30,-7927.9994634300365,0.0
2025,31,-7411.500698000642,0.0
2025,32,-6480.6973436979915,0.0
2025,33,-5868.260623166189,0.0
2025,34,-5506.467592954492,0.0
2025,35,-5344.972691850775,0.0
2025,36,-5547.233417357956,0.0
2025,37,-5585.065685368246,0.0
2025,38,-5576.828975776431,0.0
2025,39,-5663.131131833904,0.0
2025,40,-5611.979911757801,0.0
2025,41,-4931.624353932919,0.0
2025,42,-4824.613918798643,0.0
2025,43,-4938.325554021249,0.0
2025,44,-5254.086640590973,0.0
2025,45,-5634.916591607563,0.0
2025,46,-6341.593381190073,0.0
2025,47,-7222.462746720392,0.0
2025,48,-7844.650725708425,0.0
2025,49,-8269.501983788872,0.0
2025,50,-8531.14397394307,0.0
2025,51,-8606.64247519989,0.0
2025,52,-8662.431315050128,0.0
2025,53,-8570.895638747019,0.0
2025,54,-8249.491073381469,0.0
2025,55,-7779.773095506214,0.0
2025,56,-6991.4306601432345,0.0
2025,57,-6561.748924426945,0.0
2025,58,-6255.949608925452,0.0
2025,59,-6079.4156618747575,0.0
2025,60,-6466.71265347536,0.0
2025,61,-6375.325534989081,0.0
2025,62,-6347.490498086988,0.0
2025,63,-6381.746514630736,0.0
2025,64,-6195.344836606532,0.0
2025,65,-5906.623473130163,0.0
2025,66,-6164.369192266485,0.0
2025,67,-6217.161705411211,0.0
2025,68,-5833.295995241784,0.0
2025,69,-6058.103005661711,0.0
2025,70,-6696.523468002234,0.0
2025,71,-7437.921328614708,0.0
2025,72,-7984.128836778376,0.0
2025,73,-8412.35493934236,0.0
2025,74,-8594.158385534887,0.0
2025,75,-8748.120052904149,0.0
2025,76,-8804.150632566547,0.0
2025,77,-8728.446136059196,0.0
2025,78,-8327.310026141446,0.0
2025,79,-7718.1777950160185,0.0
2025,80,-6915.867328972729,0.0
2025,81,-6366.647015639188,0.0
2025,82,-6136.859543151619,0.0
