,Built Generators,Potential Generators,Capacity,Potential Capacity,Utilization rate (%),Max utilization rate (%)
CCGT,10.0,11,4323.071919379026,6090.066400000001,51.05982466296436,100.0
offwind-ac,1.0,9,363.81836979588746,2746.9304443667334,25.043704595049938,25.437234540152083
onwind,3.0,11,1794.4275417044046,6407.90066894466,18.514823953313545,18.774978851801407
solar,11.0,11,2541.4038546077336,2541.4038546077336,17.179735646656834,17.327552755767986
coal,,5,0.0,947.8786965467825,33.252864229527304,100.0
ror,,4,0.0,557.1016495,30.597381279115783,30.597381279115478
