snapshot,ES1 0 offwind-ac,ES1 0 onwind,ES1 0 ror,ES1 0 solar,PT1 0 offwind-ac,PT1 0 onwind,PT1 0 ror,PT1 0 solar,ES1 0 coal,PT1 0 CCGT,ES1 0 CCGT
2013-01-01 00:00:00,0.16908004386318545,0.19830740313627362,0.22363062930078115,0.0,0.2234623005622995,0.14079022066202246,0.10839903983680013,0.0,1.0,1.0,1.0
2013-01-01 01:00:00,0.18039552317375948,0.1834418657531159,0.2096765663818478,0.0,0.2424860666717914,0.1098326608996133,0.10413568238693072,0.0,1.0,1.0,1.0
2013-01-01 02:00:00,0.1878165676200431,0.17340272429625503,0.19888466515874076,0.0,0.25147700414241325,0.10167900804645143,0.10012443916579183,0.0,1.0,1.0,1.0
2013-01-01 03:00:00,0.19843160463260154,0.16025449639619985,0.18731281812499462,0.0,0.2466179694211473,0.09838528615754477,0.09481161481768874,0.0,1.0,1.0,1.0
2013-01-01 04:00:00,0.21804816957105447,0.15652579307971773,0.17970548443210121,0.0,0.24745681446947715,0.10371925688868014,0.08990031965519826,0.0,1.0,1.0,1.0
2013-01-01 05:00:00,0.23337270716148073,0.1432214079456276,0.17415131083913174,0.0,0.24118281868506822,0.10548586073471852,0.08662704856882267,0.0,1.0,1.0,1.0
2013-01-01 06:00:00,0.25036355702909924,0.1392773457740718,0.16944263103154267,0.0,0.24098586867551036,0.10593529367354752,0.08376213344498523,0.0,1.0,1.0,1.0
2013-01-01 07:00:00,0.2514221227823899,0.13429546403159381,0.1651897500329927,0.0,0.21461538368161084,0.0900138469329221,0.08083013404489622,0.0,1.0,1.0,1.0
2013-01-01 08:00:00,0.23081023481107463,0.13191089688393565,0.1614911404102311,0.05791630491620301,0.18809118035466443,0.07760540611363984,0.07851221678644245,0.0018728477063262795,1.0,1.0,1.0
2013-01-01 09:00:00,0.19458415237688872,0.1310138285114569,0.1578574230341761,0.2267245569031715,0.1750773484835652,0.0750920382353766,0.07675904189751163,0.21157764613291075,1.0,1.0,1.0
2013-01-01 10:00:00,0.15661956501863905,0.11885319578072771,0.15380363390089674,0.3173984216990308,0.12899413117840247,0.04581891034777367,0.07526969965604673,0.3272363775809107,1.0,1.0,1.0
2013-01-01 11:00:00,0.14908039011468155,0.14831456597916148,0.1510912159566191,0.3858415940436854,0.14847446902769756,0.05517732699711082,0.07409772419577175,0.4079417780602122,1.0,1.0,1.0
2013-01-01 12:00:00,0.15301473270077884,0.18189454488568876,0.15044474852710946,0.4135182292678502,0.13631647217462597,0.05937470123191172,0.07304958885775817,0.45460672435599553,1.0,1.0,1.0
2013-01-01 13:00:00,0.1598104960482898,0.20140281248620598,0.15094973068019463,0.38924300232319103,0.13953924107251672,0.08557951139979132,0.07217387889295851,0.448890064034897,1.0,1.0,1.0
2013-01-01 14:00:00,0.16630942893705877,0.1998948960525222,0.1520321988645199,0.3217572316719383,0.17080726161467544,0.11490991062680007,0.07156694213646787,0.38506004060373955,1.0,1.0,1.0
2013-01-01 15:00:00,0.15142084279805673,0.18063642815486572,0.15238584245498563,0.23591632410286353,0.18397346438412188,0.13140181756702324,0.0711331191067805,0.2836985774030134,1.0,1.0,1.0
2013-01-01 16:00:00,0.11762501660973228,0.14857189508391755,0.15235405686283948,0.06824051679355439,0.18122125145656853,0.11528772534824354,0.07059518873667885,0.12211576457369079,1.0,1.0,1.0
2013-01-01 17:00:00,0.11855216411294538,0.14599373730000903,0.15156856068505448,0.0,0.21106066250858313,0.10946541900752946,0.0700052956604,0.0,1.0,1.0,1.0
2013-01-01 18:00:00,0.13097913269276965,0.14601598200235197,0.1505128600044416,0.0,0.2176651947217638,0.09706226330101655,0.06947888933793898,0.0,1.0,1.0,1.0
2013-01-01 19:00:00,0.12596939080373315,0.14516592858544355,0.14968375538763623,0.0,0.172274491043652,0.09200997629179351,0.06905549349514677,0.0,1.0,1.0,1.0
2013-01-01 20:00:00,0.12665948853451994,0.14640014416435604,0.14858024511542156,0.0,0.13567697897061434,0.09207605024929724,0.06868051220353688,0.0,1.0,1.0,1.0
2013-01-01 21:00:00,0.12892944247238133,0.15038393393725147,0.14746538933895992,0.0,0.11504958101271211,0.0856224158493965,0.06833355118236886,0.0,1.0,1.0,1.0
2013-01-01 22:00:00,0.1014562283376673,0.1206346297324459,0.1461003612969157,0.0,0.09616113433880238,0.08260462844465274,0.06801553326642183,0.0,1.0,1.0,1.0
2013-01-01 23:00:00,0.11774695894697129,0.13833511973404178,0.14427193016994783,0.0,0.11259144048686952,0.09442885415081777,0.06773241245092274,0.0,1.0,1.0,1.0
2013-01-02 00:00:00,0.14208418300495373,0.1539188930524653,0.14223711203408806,0.0,0.1401331547634489,0.10431998744768697,0.06748194259155069,0.0,1.0,1.0,1.0
2013-01-02 01:00:00,0.16869051051073725,0.1647947447259737,0.14038025879962662,0.0,0.1672443484227982,0.10999318114162733,0.06725940988775722,0.0,1.0,1.0,1.0
2013-01-02 02:00:00,0.20813968118025075,0.17603530914644924,0.13850924811177556,0.0,0.19383987451170054,0.11102929243674853,0.06704865118044823,0.0,1.0,1.0,1.0
2013-01-02 03:00:00,0.20945151472006365,0.17585983662980811,0.13671806641829684,0.0,0.1879743219121875,0.09199940049326308,0.06686070567230845,0.0,1.0,1.0,1.0
2013-01-02 04:00:00,0.21662511337134424,0.18554461807382744,0.13505483392567064,0.0,0.17211488725484247,0.09605998837299871,0.06668489835203614,0.0,1.0,1.0,1.0
