bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,6850.6,3425.3
ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,13701.2,3425.3
ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,20551.800000000003,3425.3
ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,27402.4,3425.3
ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,2137.049865313438,1068.524932656719
ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,4274.099730626876,1068.524932656719
ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,6411.149595940315,1068.524932656719
ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,8548.199461253753,1068.524932656719
ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,425.17011750983886,0.0,0.0,425.17011750983886,212.58505875491943
ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,425.17011750983886,0.0,0.0,850.3402350196777,212.58505875491943
ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,425.17011750983886,0.0,0.0,1275.5103525295167,212.58505875491943
ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,425.17011750983886,0.0,0.0,1700.6804700393554,212.58505875491943
ES1 0,onwind,1487.7755517327946,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,2975.551103465589,0.0,0.0,2975.551103465589,1487.7755517327946
ES1 0,onwind,1487.7755517327946,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,2975.551103465589,0.0,0.0,5951.102206931178,1487.7755517327946
ES1 0,onwind,1487.7755517327946,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,2975.551103465589,0.0,0.0,8926.653310396767,1487.7755517327946
ES1 0,onwind,1487.7755517327946,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,2975.551103465589,0.0,0.0,11902.204413862357,1487.7755517327946
ES1 0,solar,1103.2863903115249,0.01,35602.07124380446,0.0,#f9d002,Solar,True,2206.5727806230498,2206.5727806230498,2206.5727806230498,2206.5727806230498,3309.8591709345746
ES1 0,solar,1103.2863903115249,0.01,35602.07124380446,0.0,#f9d002,Solar,True,2206.5727806230498,2206.5727806230498,4413.1455612460995,4413.1455612460995,5516.431951557624
ES1 0,solar,1103.2863903115249,0.01,35602.07124380446,0.0,#f9d002,Solar,True,2206.5727806230498,0.0,4413.1455612460995,6619.718341869149,5516.431951557624
ES1 0,solar,1103.2863903115249,0.01,35602.07124380446,0.0,#f9d002,Solar,True,2206.5727806230498,0.0,4413.1455612460995,8826.291122492199,5516.431951557624
ES1 1,CCGT,3102.318,38.85517241379311,99027.72929315246,0.2,#b20101,Combined-Cycle Gas,True,6204.636,0.0,0.0,6204.636,3102.318
ES1 1,CCGT,3102.318,38.85517241379311,99027.72929315246,0.2,#b20101,Combined-Cycle Gas,True,6204.636,0.0,0.0,12409.272,3102.318
ES1 1,CCGT,3102.318,38.85517241379311,99027.72929315246,0.2,#b20101,Combined-Cycle Gas,True,6204.636,0.0,0.0,18613.908000000003,3102.318
ES1 1,CCGT,3102.318,38.85517241379311,99027.72929315246,0.2,#b20101,Combined-Cycle Gas,True,6204.636,0.0,0.0,24818.544,3102.318
ES1 1,coal,485.8,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,971.6,0.0,0.0,971.6,485.8
ES1 1,coal,485.8,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,971.6,0.0,0.0,1943.2,485.8
ES1 1,coal,485.8,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,971.6,0.0,0.0,2914.8,485.8
