year,generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
2025,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,6850.6,3425.3
2030,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,13701.2,3425.3
2040,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,20551.800000000003,3425.3
2050,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,6850.6,0.0,0.0,27402.4,3425.3
2025,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,2137.049865313438,1068.524932656719
2030,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,4274.099730626876,1068.524932656719
2040,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,6411.149595940315,1068.524932656719
2050,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,2137.049865313438,0.0,0.0,8548.199461253753,1068.524932656719
2025,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,425.17011750983886,425.17011750983886,425.17011750983886,425.17011750983886,637.7551762647583
2030,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,425.17011750983886,0.0,425.17011750983886,850.3402350196777,637.7551762647583
