,Built Generators,Potential Generators,Capacity,Potential Capacity,Utilization rate (%),Max utilization rate (%)
CCGT,9.0,11,4093.015825309414,6090.066400000001,51.470629350588005,100.0
offwind-ac,1.0,9,363.81836979588746,2746.9304443667334,25.061039845981064,25.437234540152083
onwind,2.0,11,1602.1999254519478,6407.90066894466,18.521828846222803,18.76842103974931
solar,11.0,11,2541.4038546077336,2541.4038546077336,17.179735646649107,17.327552755767986
coal,,5,0.0,947.8786965467825,33.40871373392279,100.0
ror,,4,0.0,557.1016495,30.597381279115478,30.597381279115478
