carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,155749983.87417686,26936705.763521567,128813278.11065528,6071254105.665093,405322063.1413296,40.52039741089527,0.2,6311051243.322176,31149996.774835374,2647749725.8610067,8719003831.5261,9124325894.667429
coal,13870324.71600791,0.0,13870324.71600791,391101125.7044049,0.0,28.196969696969695,0.34,391101125.70440483,4715910.40344269,400852384.29262865,791953509.9970336,791953509.9970336
offwind-ac,30951036.393945713,1144846.5252002554,29806189.868745457,464265.5459091857,66956231.3087627,0.015000000000000001,0.0,464265.5459091857,0.0,0.0,464265.5459091857,67420496.85467188
onwind,54584074.217746556,3426896.957854148,51157177.25989241,818761.1132661974,153948802.62257418,0.01499999999999999,0.0,818761.1132661978,0.0,0.0,818761.1132661974,154767563.73584038
solar,23145484.201943155,3857580.7003238597,19287903.501619294,231454.84201943158,90479241.09102377,0.01,0.0,231454.84201943155,0.0,0.0,231454.84201943158,90710695.93304321
ror,7466082.992467335,0.0,7466082.992467335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,285766986.39628756,35366029.94689983,250400956.44938767,6463869712.870692,716706338.1636903,68.75736710786497,0.54,6703666850.527775,35865907.178278066,3048602110.1536355,9512471823.02433,10229178161.188017
