year,AIC,expected_OC,total_cost
2025,4170957959.687833,6930077165.434708,11101035125.12254
2030,3634602327.8953624,5761597048.058531,9396199375.953894
2040,2029268174.6323776,7031529968.609917,9060798143.242294
2050,410099432.7080743,7655816425.210099,8065915857.918174
