year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,15225.166000000001,5297.34,11,6,524583551.4937882,118577160.2671521,23715432.053430423,4612821935.57786,1897234564.2744339,6510056499.852294,7034640051.346082
2025,coal,2369.6967413669563,0.0,5,0,0.0,7546413.546355105,2565780.605760736,212785994.08737648,205262448.46085885,418048442.54823536,418048442.54823536
2025,offwind-ac,6867.326110916833,6537.333857772564,9,8,1205703068.8926797,39601786.74899584,0.0,594026.8012349375,0.0,594026.8012349375,1206297095.6939147
2025,onwind,16019.751672361648,16019.75167236165,11,11,1539272065.2982094,72458620.62144423,0.0,1086879.309321662,0.0,1086879.309321662,1540358944.607531
2025,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,15130152.62365348,0.0,0.0,0.0,0.0,416628781.84968704
2025,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,29131692.362209402,0.0,291316.92362209404,0.0,291316.92362209404,226489419.65118152
2030,CCGT,15225.166000000001,4192.501041813682,11,5,415131933.2195667,102313161.8732087,20462632.37464174,3978531544.2816544,1637010589.9713392,5615542134.252994,6030674067.47256
2030,coal,2369.6967413669563,0.0,5,0,0.0,2592273.030075408,881372.8302256388,73094244.07530808,70509826.41805111,143604070.4933592,143604070.4933592
2030,offwind-ac,6867.326110916833,5046.4156004384995,9,4,931895239.4866285,48054767.00112796,0.0,720821.5050169193,0.0,720821.5050169193,932616060.9916455
2030,onwind,16019.751672361648,15648.680699329505,11,10,1503460894.5289896,89439949.48879836,0.0,1341599.2423319737,0.0,1341599.2423319737,1504802493.7713215
2030,ror,1392.75412375,1392.75412375,4,4,416614854.30844957,20173536.831537973,0.0,0.0,0.0,0.0,416614854.30844957
2030,solar,6353.509636519333,6353.509636519333,11,11,226134567.63119423,38842256.48294587,0.0,388422.5648294587,0.0,388422.5648294587,226522990.1960237
2040,CCGT,15225.166000000001,2261.008949479933,11,4,223857361.9995042,123173758.19107002,24634751.638214007,4793893672.953294,1970780131.0571203,6764673804.010414,6988531166.009918
2040,coal,2369.6967413669563,0.0,5,0,0.0,4764237.259153823,1619840.6681123003,134337053.62553433,129587253.44898401,263924307.07451835,263924307.07451835
2040,offwind-ac,6867.326110916833,2816.3212323670946,9,2,519302782.54703283,54813309.71845405,0.0,822199.6457768106,0.0,822199.6457768106,520124982.19280964
2040,onwind,16019.751672361648,11034.47872496316,11,7,1060036997.5510116,108275311.54473895,0.0,1624129.673171082,0.0,1624129.673171082,1061661127.2241826
2040,ror,1392.75412375,0.0,4,0,0.0,20173536.831537973,0.0,0.0,0.0,0.0,0.0
2040,solar,6353.509636519333,6353.509636519333,11,11,226071032.53482905,48552820.60368233,0.0,485528.2060368234,0.0,485528.2060368234,226556560.7408659
2050,CCGT,15225.166000000001,0.0,11,0,0.0,129893366.19295463,25978673.238590926,5062735032.43685,2078293859.087274,7141028891.524124,7141028891.524124
2050,coal,2369.6967413669563,0.0,5,0,0.0,6892106.778643854,2343316.3047389104,194336525.98570016,187465304.37911284,381801830.36481297,381801830.36481297
2050,offwind-ac,6867.326110916833,0.0,9,0,0.0,54726685.709642135,0.0,820900.285644632,0.0,820900.285644632,820900.285644632
2050,onwind,16019.751672361648,1916.508597904429,11,1,184091935.26961046,113715156.45083067,0.0,1705727.3467624572,0.0,1705727.3467624572,185797662.6163729
2050,ror,1392.75412375,0.0,4,0,0.0,20173536.831537973,0.0,0.0,0.0,0.0,0.0
2050,solar,6353.509636519333,6353.509636519333,11,11,226007497.43846384,58263384.724418804,0.0,582633.8472441881,0.0,582633.8472441881,226590131.285708
