run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
rf004,6173105816.446784,510502225.8361742,574163979.0332619,7257772021.31622,24902284018.093235,11035379763.532026,62712423.199133545,0.0,36000376204.824394,43258148226.14062
rf008,9272113357.96764,395679448.3726717,804927192.9191997,10472719999.25951,18439923006.405155,8201198643.559214,0.0,0.0,26641121649.96437,37113841649.22388
rf012,11049199136.777214,252023122.83495605,907028310.3536036,12208250569.965773,14335478253.00087,6438220669.654991,0.0,0.0,20773698922.65586,32981949492.621635
