,rf004,rf008,rf012,difference,difference %
Generator Investment [EUR],8676637757.087107,9338138643.87412,9382887200.389168,661500886.787014,7.6
Transmission Investment [EUR],149230303.36111504,160210385.10929495,165842132.12177104,10980081.748179913,7.4
Battery Investment [EUR],1737375948.6659827,1213576875.1521754,1174887982.163601,-523799073.5138073,-30.1
CapEx [EUR],10563244009.114204,10711925904.13559,10723617314.67454,148681895.0213852,1.4
Production Cost [EUR],9573590602.644768,9164690996.012287,9122461258.802498,-408899606.6324806,-4.3
CO2 Cost [EUR],4365849174.629627,4157359617.597121,4121198403.354825,-208489557.03250647,-4.8
Load Shedding Cost [EUR],0.0,0.0,0.0,0.0,
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,
Total OpEx [EUR],13939439777.274397,13322050613.60941,13243659662.157322,-617389163.6649876,-4.4
Total System Cost [EUR],24502683786.3886,24033976517.745,23967276976.831863,-468707268.64360046,-1.9
