scenario,year,dual_value
NT,2025,-32514.833030767062
NT,2030,-32526.088533866532
NT,2040,-10842.029511288843
GA,2040,-10799.93498185277
DE,2040,-10842.029511288843
GA,2050,-16155.3109122183
DE,2050,-16155.3109122183
