year,battery,value
2025,ES1 0 bat,0.0
2030,ES1 0 bat,0.0
2040,ES1 0 bat,0.0
2050,ES1 0 bat,27922.534813225742
2025,ES1 1 bat,0.0
2030,ES1 1 bat,0.0
2040,ES1 1 bat,0.0
2050,ES1 1 bat,0.0
2025,ES1 2 bat,0.0
2030,ES1 2 bat,0.0
2040,ES1 2 bat,0.0
2050,ES1 2 bat,0.0
2025,ES1 3 bat,0.0
2030,ES1 3 bat,0.0
2040,ES1 3 bat,0.0
2050,ES1 3 bat,8997.002784777947
2025,ES1 4 bat,0.0
2030,ES1 4 bat,0.0
2040,ES1 4 bat,0.0
2050,ES1 4 bat,0.0
2025,ES1 5 bat,0.0
2030,ES1 5 bat,0.0
2040,ES1 5 bat,13715.6973455329
2050,ES1 5 bat,28391.97311658577
2025,ES1 6 bat,85445.36391822336
2030,ES1 6 bat,123360.9587216198
2040,ES1 6 bat,68410.2454321611
2050,ES1 6 bat,44437.757151984
2025,ES1 7 bat,9505.639533435258
2030,ES1 7 bat,88943.26241652589
2040,ES1 7 bat,80771.99792568684
2050,ES1 7 bat,67031.1026510629
2025,ES1 8 bat,0.0
2030,ES1 8 bat,0.0
2040,ES1 8 bat,17075.54217032506
2050,ES1 8 bat,9326.918832899746
2025,PT1 0 bat,0.0
2030,PT1 0 bat,0.0
2040,PT1 0 bat,4967.49531914818
2050,PT1 0 bat,25520.51769064495
2025,PT1 1 bat,112636.07009866452
2030,PT1 1 bat,443901.0925444866
2040,PT1 1 bat,385437.93509965175
2050,PT1 1 bat,313766.4269487935
