year,AIC,expected_OC,total_cost
2025,4775873301.397176,8319209172.70438,13095082474.101555
2030,3543008381.0017724,6795235058.000936,10338243439.002708
2040,2660478595.685912,7917715716.62084,10578194312.306751
2050,485901814.4530876,8440360039.169963,8926261853.62305
