year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,9239.976680499178,19,2,163613540.51935583
2030,95000,100.35132603979946,19,1,1317763.7972596027
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
