year,num_buildout,capacity,investment_cost,cycles_per_year
2025,2,270.83196299054276,5947178.746716705,237.89501870116138
2030,2,761.5342794775313,10775295.335720686,190.79481916023857
2040,2,7751.05856593496,153482439.17403272,244.8434308290437
2050,2,34522.87613071514,587880332.4177709,183.04668921043233
