year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,48228.20428491477,23569.515371235106,51,32,2687102811.085712,274604499.7131969,9128588.781413604,730287102.5130883,1643445464.7236016,2373732567.23669,5060835378.322402
2030,48228.20428491477,26857.199763888075,51,35,3235016966.1667085,294144168.04356354,11201320.45296481,896105636.2371849,1999766482.724342,2895872118.9615273,6130889085.128236
2040,48228.20428491477,26152.395528463723,51,31,2788975651.2492466,350937647.38148224,18774032.10094997,1501922568.0759976,3281969089.762613,4783891657.838611,7572867309.087857
2050,48228.20428491477,28691.500060736802,51,34,3155912924.424557,374058545.6574326,22240084.45581925,1779206756.4655397,3861159950.5547543,5640366707.020294,8796279631.44485
