year,DE,GA,NT,Average
2025,,,42.124156265116994,42.124156265116994
2030,,,38.69627492306433,38.69627492306433
2040,40.76520805525631,35.92563933143239,39.96309819694763,38.884648527878774
2050,62.1134658922634,36.349646482949964,,49.231556187606685
