cores,weeks,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
1,4,22526734238.58808,,4121.418460845947,151.16319608688354,4122.219401836395,4273.382597923279,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
1,8,25318057586.63041,,7414.928322076797,304.2935152053833,7416.569267749786,7720.86278295517,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
1,8,25318057586.63041,,7444.062932014465,305.5566656589508,7445.661898136139,7751.21856379509,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
1,8,25318057586.63041,,7438.364595174789,304.0890221595764,7439.978182315826,7744.067204475403,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
1,8,25318057586.63041,,7407.246958971024,306.0480830669403,7408.8741109371185,7714.922194004059,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
1,8,25318057586.63041,,7350.052708148956,304.91230821609497,7351.69567489624,7656.607983112335,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
1,2,26898746093.13626,,878.1723790168762,78.60035610198975,878.6690700054169,957.2694261074066,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
1,2,26898746093.13626,,878.0092339515686,76.81982374191284,878.3662617206573,955.1860854625702,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
1,2,26898746093.13626,,878.7202830314636,76.5825982093811,879.0935776233673,955.6761758327484,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
1,2,26898746093.13626,,874.8496050834656,76.77277445793152,875.2065854072571,951.9793598651886,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
1,2,26898746093.13626,,877.2280490398407,80.5070390701294,877.791405916214,958.2984449863434,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
1,4,22526734238.58808,,4108.039082050324,151.23891854286194,4108.800294160843,4260.039212703705,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
1,4,22526734238.58808,,4035.32438993454,151.5984387397766,4036.078460931778,4187.676899671555,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
1,4,22526734238.58808,,4094.896523952484,151.9313292503357,4095.6871910095215,4247.618520259857,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
1,4,22526734238.58808,,4112.913477182388,150.9130342006683,4113.714348316193,4264.627382516861,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
2,4,22526734238.58808,,2824.092516183853,152.4297981262207,2824.853892803192,2977.283690929413,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
2,8,25318057586.63041,,4957.635065078735,305.11500573158264,4959.152940750122,5264.267946481705,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
2,8,25318057586.63041,,4512.762971878052,304.08961486816406,4514.309755563736,4818.3993704319,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
2,8,25318057586.63041,,4264.899297952652,304.17313742637634,4266.459293603897,4570.632431030273,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
2,8,25318057586.63041,,4164.249649047852,303.98841547966003,4165.854867696762,4469.843283176422,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
2,8,25318057586.63041,,4117.3981320858,304.6222026348114,4119.028679609299,4423.65088224411,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
2,2,26898746093.13626,,523.4476020336151,77.48472309112549,523.8274612426758,601.3121843338013,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
2,2,26898746093.13626,,507.8590919971466,76.59882664680481,508.2150979042053,584.8139245510101,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
2,2,26898746093.13626,,519.7312948703766,76.02104187011719,520.0932822227478,596.114324092865,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
2,2,26898746093.13626,,545.1415820121765,78.9253351688385,545.5311152935028,624.4564504623413,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
2,2,26898746093.13626,,552.9870941638947,76.65307354927063,553.3506076335907,630.0036811828613,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
2,4,22526734238.58808,,3360.2955310344696,153.8221790790558,3361.0526123046875,3514.8747913837437,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
2,4,22526734238.58808,,3250.6836829185486,154.9197006225586,3251.428389072418,3406.348089694977,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
2,4,22526734238.58808,,2026.907310009003,153.50977444648743,2027.7037253379824,2181.2134997844696,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
2,4,22526734238.58808,,1745.3653650283811,152.17106461524963,1746.1247906684875,1898.2958552837367,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
4,4,22526734238.58808,,1453.826456785202,153.4275085926056,1454.6689891815186,1608.096497774124,1895688.0,1440348.0,3869565.0,0.0,0.0,0.0,2.0
4,8,25318057586.63041,,2353.446186065674,306.484486579895,2354.9942321777344,2661.4787187576294,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
4,8,25318057586.63041,,2411.535683870316,304.27119517326355,2413.088932991028,2717.3601281642914,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
4,8,25318057586.63041,,2354.599914073944,307.485746383667,2356.2133736610413,2663.6991200447083,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
4,8,25318057586.63041,,2362.0332300662994,309.5367350578308,2363.602902889252,2673.1396379470825,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
4,8,25318057586.63041,,2341.9147651195526,305.76945877075195,2343.495979785919,2649.265438556671,3790728.0,2880080.0,7735518.0,0.0,0.0,0.0,2.0
4,2,26898746093.13626,,245.6224100589752,76.62957549095154,245.99357223510745,322.62314772605896,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
4,2,26898746093.13626,,243.56186199188232,76.55992221832275,243.92470169067383,320.4846239089966,948168.0,720482.0,1936011.0,0.0,0.0,0.0,2.0
