weeks,cores,mean,std
2,1,877.395910024643,1.5202697425224887
2,2,529.8333330154419,18.682445944337523
2,4,244.6104134082794,3.0435620585788925
4,1,4094.5183867931364,34.45604006019844
4,2,2641.468881034851,724.8953813619968
4,4,1439.3028095722198,24.096623929402828
8,1,7410.931103277207,37.36992180872797
8,2,4403.389023208618,345.43782713280524
8,4,2364.705955839157,27.15013701834056
