dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,315,0.6087662337662338
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,169,0.3266079158936302
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,12,15.789473684210526
branch_flow_new_duals_max,89376,10537,11.789518438954529
branch_flow_new_duals_min,89376,35265,39.45690118152524
branch_flow_old_duals_max,89376,10347,11.576933404940924
branch_flow_old_duals_min,89376,35081,39.25102935911207
emissions_duals,7,6,85.71428571428571
gen_extension_duals,204,65,31.862745098039213
gen_output_new_duals,239904,117429,48.948329331732694
gen_output_old_duals,239904,117458,48.96041750033346
load_shedding_duals,51744,56,0.10822510822510822
power_balance_duals,51744,51436,99.40476190476191
