line,scenario,year,utilization_rate,congestion_rate
88,DE,2040,0.9914533926525569,0.9464285714285715
88,DE,2050,0.9909663938413378,0.9449404761904763
88,GA,2040,0.9947057871703615,0.9642857142857143
88,GA,2050,0.9920087802912038,0.9479166666666666
88,NT,2025,0.9955552880889375,0.9761904761904763
88,NT,2030,0.9950872300024851,0.9747023809523809
88,NT,2040,0.9918467809358233,0.9479166666666666
89,DE,2040,0.6748613087811633,0.18154761904761904
89,DE,2050,0.6772257902742825,0.20535714285714288
89,GA,2040,0.6802215504160861,0.1755952380952381
89,GA,2050,0.6652720213357399,0.15773809523809526
89,NT,2025,0.6779394763002625,0.12053571428571429
89,NT,2030,0.6980971895448471,0.19791666666666666
89,NT,2040,0.6745060909785314,0.16666666666666666
90,DE,2040,0.47399158144596265,0.06994047619047619
90,DE,2050,0.5001635120536907,0.09077380952380952
90,GA,2040,0.4296540904851407,0.04464285714285715
90,GA,2050,0.45010220084737484,0.05654761904761905
90,NT,2025,0.31512751351002904,0.019345238095238096
90,NT,2030,0.39448528032217817,0.04464285714285715
90,NT,2040,0.46301800854211156,0.06398809523809525
91,DE,2040,0.9814896273744544,0.898809523809524
91,DE,2050,0.9869860367558676,0.9241071428571429
91,GA,2040,0.9817067760797952,0.8928571428571429
91,GA,2050,0.9871267302980562,0.918154761904762
91,NT,2025,0.9913130084071112,0.9523809523809524
91,NT,2030,0.9781480573579836,0.8720238095238095
91,NT,2040,0.9818013554031979,0.9002976190476191
92,DE,2040,0.8972016769717699,0.8095238095238095
92,DE,2050,0.9118871815460429,0.836309523809524
92,GA,2040,0.9048853395944476,0.8169642857142857
92,GA,2050,0.8995799671846167,0.8110119047619048
92,NT,2025,0.8598278653559295,0.7291666666666666
92,NT,2030,0.904884629930644,0.8035714285714286
92,NT,2040,0.906119359258876,0.8229166666666666
93,DE,2040,1.0,1.0
93,DE,2050,1.0,1.0
93,GA,2040,1.0,1.0
93,GA,2050,1.0,1.0
93,NT,2025,1.0,1.0
93,NT,2030,1.0,1.0
93,NT,2040,1.0,1.0
95,DE,2040,0.977221238563037,0.955357142857143
95,DE,2050,0.9702990973874408,0.9404761904761906
95,GA,2040,0.9860459566296802,0.9702380952380953
95,GA,2050,0.9813002329518781,0.961309523809524
95,NT,2025,0.9982919584881067,0.9940476190476191
95,NT,2030,0.9861950711084204,0.9747023809523809
95,NT,2040,0.9786856587559882,0.955357142857143
96,DE,2040,0.2568655926458477,0.0
96,DE,2050,0.27287631787559385,0.007440476190476191
96,GA,2040,0.24151856348778894,0.0
96,GA,2050,0.25340774221257933,0.0
96,NT,2025,0.2827210143192528,0.0
96,NT,2030,0.2437448891066006,0.0
96,NT,2040,0.2546157487658516,0.0
97,DE,2040,0.15002243981718533,0.0
97,DE,2050,0.15669581059185286,0.0
97,GA,2040,0.14920602566003807,0.0
97,GA,2050,0.15775845081928597,0.0
97,NT,2025,0.11407987761447934,0.0
97,NT,2030,0.13545973432835795,0.0
97,NT,2040,0.14955470426509426,0.0
99,DE,2040,0.9997786111830482,0.9985119047619048
99,DE,2050,0.9992831103246772,0.9955357142857143
99,GA,2040,0.9996230411952175,0.9985119047619048
99,GA,2050,0.9998350246766595,0.9985119047619048
99,NT,2025,1.0000000000000002,1.0
99,NT,2030,0.999935704361835,1.0
99,NT,2040,0.9996409337208872,0.9970238095238096
100,DE,2040,0.20178507037405513,0.0
100,DE,2050,0.21422183442345363,0.0
100,GA,2040,0.19460502266123095,0.0
100,GA,2050,0.20070780829447762,0.0
100,NT,2025,0.13949692126059446,0.0
100,NT,2030,0.17922162869051184,0.0
100,NT,2040,0.20111924453500024,0.0
101,DE,2040,0.8370944173436923,0.6636904761904762
101,DE,2050,0.8435737086201437,0.6666666666666666
101,GA,2040,0.8583785996518463,0.6979166666666666
101,GA,2050,0.854967909496791,0.7023809523809524
101,NT,2025,0.8414654721932895,0.6592261904761906
101,NT,2030,0.8679020540024718,0.7217261904761906
101,NT,2040,0.8426682196868058,0.6815476190476191
102,DE,2040,0.4818166468451211,0.13095238095238096
102,DE,2050,0.48328582174005275,0.12202380952380953
102,GA,2040,0.48980561153667296,0.12648809523809526
102,GA,2050,0.4835119851469996,0.10714285714285715
102,NT,2025,0.38910312761477023,0.013392857142857144
102,NT,2030,0.47336974377982743,0.10267857142857144
102,NT,2040,0.48576684203812387,0.13392857142857142
103,DE,2040,0.7731914745530782,0.6026785714285715
103,DE,2050,0.7612446531367273,0.574404761904762
103,GA,2040,0.7711154983313692,0.5848214285714286
103,GA,2050,0.7691110822205462,0.574404761904762
103,NT,2025,0.7840181862783737,0.5818452380952381
103,NT,2030,0.7647272539860056,0.5654761904761905
103,NT,2040,0.7748725585624223,0.6026785714285715
104,DE,2040,0.7460579965002179,0.46279761904761907
104,DE,2050,0.7423776697443475,0.4836309523809524
104,GA,2040,0.7664947137272345,0.47321428571428575
104,GA,2050,0.7498561478457721,0.4761904761904762
104,NT,2025,0.8445811463603462,0.5357142857142857
104,NT,2030,0.7916645657686119,0.4642857142857143
104,NT,2040,0.7513657372795631,0.46577380952380953
105,DE,2040,0.5944853547311629,0.06845238095238096
105,DE,2050,0.6103154671540761,0.0892857142857143
105,GA,2040,0.5738252820629725,0.04761904761904762
105,GA,2050,0.5879364664731104,0.050595238095238096
105,NT,2025,0.5419301371662478,0.0
105,NT,2030,0.54799527614291,0.011904761904761906
105,NT,2040,0.5900450840744463,0.05952380952380953
106,DE,2040,0.9949599869550114,0.9761904761904763
106,DE,2050,0.9981005739262878,0.9880952380952381
106,GA,2040,0.9962884492975392,0.9806547619047621
106,GA,2050,0.9981711721106898,0.9821428571428572
106,NT,2025,1.0,1.0
106,NT,2030,0.9996508469281096,0.9970238095238096
106,NT,2040,0.9954820168939494,0.9806547619047621
107,DE,2040,0.9375938705073299,0.8928571428571429
107,DE,2050,0.9369719429842076,0.8883928571428572
107,GA,2040,0.9386845447160098,0.8824404761904762
107,GA,2050,0.9371222609212142,0.8854166666666666
107,NT,2025,0.9852430091934261,0.9627976190476191
107,NT,2030,0.9336430022987035,0.875
107,NT,2040,0.9366407687544636,0.8913690476190477
219,DE,2040,0.6363301624455615,0.09077380952380952
219,DE,2050,0.6583231881371788,0.09375
219,GA,2040,0.61024256002896,0.08630952380952382
219,GA,2050,0.6197025330258633,0.0818452380952381
219,NT,2025,0.6626649226624233,0.08333333333333333
219,NT,2030,0.6078224176749082,0.049107142857142856
219,NT,2040,0.6309458151122391,0.09375
