year,DE,GA,NT,Average
2025,,,27.950344980864088,27.950344980864088
2030,,,20.050188805951155,20.050188805951155
2040,33.04484215593956,20.740077317548536,25.106445242761694,26.297121572083267
2050,44.28262085186565,24.489106758361427,,34.38586380511354
