,lower_bound,upper_bound,count,percent_of_interval
0,4.999,5.1,0,0.0
1,5.1,5.2,0,0.0
2,5.2,5.3,0,0.0
3,5.3,5.4,1,9.090909090909092
4,5.4,5.5,6,54.54545454545454
5,5.5,5.6,4,36.36363636363637
6,5.6,5.7,0,0.0
7,5.7,5.8,0,0.0
8,5.8,5.9,0,0.0
9,5.9,6.0,0,0.0
