,lower_bound,upper_bound,count,percent_of_interval
0,2.999,3.1,0,0.0
1,3.1,3.2,0,0.0
2,3.2,3.3,0,0.0
3,3.3,3.4,0,0.0
4,3.4,3.5,0,0.0
5,3.5,3.6,0,0.0
6,3.6,3.7,2,2.0
7,3.7,3.8,9,9.0
8,3.8,3.9,20,20.0
9,3.9,4.0,69,69.0
